Partition,Cluster,GPU Name,VRAM (GB),Type,Config,# of GPUs per Node,# of Nodes,Total GPU
gpu,great-lakes,V100,16,7,"CUDA_CORES:5120, CLOCK_RATE:877, GPU_MAX_CLOCK_RATE:1380","2, 3","20, 4",52
spgpu,great-lakes,A40 ,48,8.6,"CUDA_CORES:10752, CLOCK_RATE:7251, GPU_MAX_CLOCK_RATE:1740",8,30,240
spgpu2,great-lakes,L40S,48,8.9,"CUDA_CORES:18176, CLOCK_RATE:9001, GPU_MAX_CLOCK_RATE:2520",24,8,192
viz,great-lakes,P40,24,6.1,"CUDA_CORES:3840, CLOCK_RATE:3615, GPU_MAX_CLOCK_RATE:1532",1,4,4
gpu_mig40,great-lakes,A100 2-way MIG,40,8,"CUDA_CORES:2688, CLOCK_RATE:1512, GPU_MAX_CLOCK_RATE:1410",8,2,16
gpu,armis2,V100,16,7,"CUDA_CORES:5120, CLOCK_RATE:877, GPU_MAX_CLOCK_RATE:1380","3,4","1,3",15
precisionhealth,armis2,GeForce RTX 2080 Ti,11,7.5,"CUDA_CORES:4352, CLOCK_RATE:7000, GPU_MAX_CLOCK_RATE:1545",8,6,48
miumbrella,armis2,A30,24,8,"CUDA_CORES:3584, CLOCK_RATE:1215, GPU_MAX_CLOCK_RATE:1440",1,3,3
tocho,armis2,L40S,48,8.9,"CUDA_CORES:18176, CLOCK_RATE:9001, GPU_MAX_CLOCK_RATE:2520",8,6,48
alrodri-a100,lighthouse,A100,80,8,"CUDA_CORES:6912, CLOCK_RATE:1593, GPU_MAX_CLOCK_RATE:1410",4,1,4
drjieliu-v100,lighthouse,V100,32,7,"CUDA_CORES:5120, CLOCK_RATE:877, GPU_MAX_CLOCK_RATE:1380",2,3,6
drjieliu-h100,lighthouse,H100,80,9,"CUDA_CORES:16896, CLOCK_RATE:2619, GPU_MAX_CLOCK_RATE:1980",8,1,8
honglak,lighthouse,L40S,48,8.9,"CUDA_CORES:18176, CLOCK_RATE:9001, GPU_MAX_CLOCK_RATE:2520",8,2,16
justincj,lighthouse,NA,NA,NA,NA,8,3,24
krmahesh-a100,lighthouse,A100,80,8,"CUDA_CORES:6912, CLOCK_RATE:1593, GPU_MAX_CLOCK_RATE:1410",4,5,20
mcity_project,lighthouse,L40S,48,8.9,"CUDA_CORES:18176, CLOCK_RATE:9001, GPU_MAX_CLOCK_RATE:2520",8,2,16
mingyan-a100,lighthouse,A100,80,8,"CUDA_CORES:6912, CLOCK_RATE:1593, GPU_MAX_CLOCK_RATE:1410",4,2,8
project_l,lighthouse,H100,80,9,"CUDA_CORES:16896, CLOCK_RATE:2619, GPU_MAX_CLOCK_RATE:1980",8,2,16
qmei-a100,lighthouse,A100,80,8,"CUDA_CORES:6912, CLOCK_RATE:1593, GPU_MAX_CLOCK_RATE:1410",4,1,4
ramanvr,lighthouse,H100,80,9,"CUDA_CORES:16896, CLOCK_RATE:2619, GPU_MAX_CLOCK_RATE:1980",8,12,96
sigbio_gpu,lighthouse,A40 ,48,8.6,"CUDA_CORES:10752, CLOCK_RATE:7251, GPU_MAX_CLOCK_RATE:1740",8,4,32
stellayu,lighthouse,A40 ,48,8.6,"CUDA_CORES:10752, CLOCK_RATE:7251, GPU_MAX_CLOCK_RATE:1740",8,4,32
tomers,lighthouse,A100,80,8,"CUDA_CORES:6912, CLOCK_RATE:1593, GPU_MAX_CLOCK_RATE:1410",4,1,4
venkvis-a100,lighthouse,A100,80,8,"CUDA_CORES:6912, CLOCK_RATE:1593, GPU_MAX_CLOCK_RATE:1410",4,2,8
venkvis-h100,lighthouse,H100,80,9,"CUDA_CORES:16896, CLOCK_RATE:2619, GPU_MAX_CLOCK_RATE:1980",4,3,12
vvh-l40s,lighthouse,L40S,48,8.9,"CUDA_CORES:18176, CLOCK_RATE:9001, GPU_MAX_CLOCK_RATE:2520",8,1,8
vvh-a100,lighthouse,A100,80,8,"CUDA_CORES:6912, CLOCK_RATE:1593, GPU_MAX_CLOCK_RATE:1410",4,2,8
qingqu,lighthouse,A100,80,8,"CUDA_CORES:6912, CLOCK_RATE:1593, GPU_MAX_CLOCK_RATE:1410",4,2,8
